======================================================================
AI TECHNICAL MARKET DATA
======================================================================

Generated automatically by GitHub Actions
Data source: Yahoo Finance via yfinance
Historical period: latest 60 trading days


======================================================================
SMH
======================================================================

Date,Close,SMA50,SMA100,SMA150,SMA200,RSI14,MACD,MACD_Signal,MACD_Hist,ADX14,ATR14
2026-05-28,599.830017,480.625201,440.196701,411.663867,387.259050,71.391393,30.648267,30.401349,0.246918,34.730018,19.004430
2026-05-29,598.929993,484.730400,442.410101,413.399400,388.753200,70.935408,30.478120,30.416703,0.061417,35.287784,18.694826
2026-06-01,607.809998,488.988200,444.612001,415.152800,390.285850,72.782534,30.705862,30.474535,0.231327,35.489457,18.812336
2026-06-02,632.210022,493.937601,447.083901,417.026601,391.937300,77.090812,32.480809,30.875790,1.605019,36.282766,19.237170
2026-06-03,637.900024,498.868401,449.673101,418.879667,393.648550,77.966688,33.955188,31.491669,2.463518,37.297650,19.210233
2026-06-04,627.530029,503.527202,452.056201,420.642468,395.301900,72.524559,33.896138,31.972563,1.923575,36.849087,20.215933
2026-06-05,569.690002,506.940602,453.846501,421.983001,396.696000,51.099882,28.849575,31.347965,-2.498391,34.548121,22.903368
2026-06-08,598.159973,511.287002,455.912801,423.545868,398.242000,57.720549,26.838053,30.445983,-3.607930,32.411510,23.875271
2026-06-09,591.010010,515.622202,457.939401,425.065801,399.759750,55.681606,24.385860,29.233958,-4.848098,31.145914,26.386325
2026-06-10,570.909973,519.789802,459.684401,426.431201,401.146100,50.302144,20.583303,27.503827,-6.920524,29.970718,26.675874
2026-06-11,609.450012,524.310802,461.775001,428.142467,402.723750,58.567605,20.443943,26.091850,-5.647907,28.262042,27.678313
2026-06-12,619.960022,528.870602,464.070701,429.878868,404.339800,60.497060,20.940184,25.061517,-4.121333,26.384372,27.302003
2026-06-15,647.099976,533.966202,466.522401,431.852267,406.087000,65.026313,23.255353,24.700284,-1.444931,25.576861,27.443286
2026-06-16,616.000000,538.366602,468.654201,433.638134,407.672600,56.966055,22.323303,24.224888,-1.901585,23.843222,27.790908
2026-06-17,623.969971,542.848001,470.893000,435.406001,409.341000,58.389511,21.974450,23.774800,-1.800351,22.233414,27.770129
2026-06-18,659.880005,547.587201,473.503600,437.464867,411.208000,64.144361,24.315328,23.882906,0.432422,21.500612,28.631550
2026-06-22,668.909973,552.359200,476.120200,439.554067,413.120400,65.438782,26.592592,24.424843,2.167749,21.096935,27.440011
2026-06-23,622.049988,556.062600,478.174400,441.402267,414.781350,54.452803,24.335605,24.406995,-0.071391,20.125515,29.168579
2026-06-24,618.919983,559.574200,480.188400,443.228534,416.409550,53.803065,22.040294,23.933655,-1.893361,19.574144,28.442252
2026-06-25,636.880005,563.271800,482.522600,445.205734,418.111350,56.975415,21.423510,23.431626,-2.008116,18.203372,28.989236
2026-06-26,611.609985,566.444000,484.559000,447.061200,419.680350,51.605725,18.680291,22.481359,-3.801068,17.046252,28.910005
2026-06-29,631.979980,569.987599,486.902000,449.011467,421.336100,55.265656,17.943121,21.573711,-3.630591,16.409126,29.494293
2026-06-30,655.890015,573.822200,489.640700,451.216733,423.095900,59.169049,19.068439,21.072657,-2.004218,15.598351,29.370415
