DATE,OPEN,HIGH,LOW,CLOSE,DataCollectedAt,SMA20,SMA50,SMA100,SMA150,SMA200,RSI14,MACD,MACD_Signal,MACD_Hist,ADX14,ATR14
2009-09-18,25.91,26.66,25.91,26.54,2026-08-25,,,,,,,0.0,0.0,0.0,,
2009-09-21,26.96,27.24,26.17,26.23,2026-08-25,,,,,,,-0.024729344729344405,-0.0049458689458688814,-0.019783475783475522,,
2009-09-22,25.97,26.21,25.65,25.69,2026-08-25,,,,,,,-0.08689929464858537,-0.02133655408641218,-0.06556274056217319,,
2009-09-23,25.7,26.2,25.01,26.09,2026-08-25,,,,,,,-0.10270880760925749,-0.03761100479098124,-0.06509780281827625,,
2009-09-24,26.1,27.42,25.99,27.13,2026-08-25,,,,,,,-0.030961744457542295,-0.036281152724293456,0.0053194082667511605,,
2009-09-25,27.39,27.95,26.95,27.21,2026-08-25,,,,,,,0.03198494883178071,-0.022627932413078623,0.054612881244859336,,
2009-09-28,27.31,27.45,26.24,26.27,2026-08-25,,,,,,,0.005951902846700108,-0.01691196536112288,0.022863868207822987,,
2009-09-29,26.17,26.53,25.83,26.48,2026-08-25,,,,,,,0.002239950546744751,-0.013081582179549354,0.015321532726294105,,
2009-09-30,26.27,27.33,26.07,26.66,2026-08-25,,,,,,,0.013665173667330777,-0.007732231010173329,0.021397404677504107,,
2009-10-01,27.0,28.59,27.0,28.33,2026-08-25,,,,,,,0.15568020404765193,0.024950256001391724,0.1307299480462602,,
2009-10-02,29.0,29.18,28.35,28.8,2026-08-25,,,,,,,0.3026642853536252,0.08049306187183843,0.2221712234817868,,
2009-10-05,28.99,29.07,27.39,27.61,2026-08-25,,,,,,,0.31944481303945693,0.12828341210536212,0.1911614009340948,,
2009-10-06,27.19,27.19,26.25,26.73,2026-08-25,,,,,,,0.2587521231860279,0.1543771543214953,0.10437496886453262,,
2009-10-07,26.83,26.85,26.01,26.12,2026-08-25,,,,,,,0.1595911596463253,0.1554199553864613,0.004171204259864003,,1.018764145375044
2009-10-08,25.77,26.07,25.52,25.74,2026-08-25,,,,,,32.70041573937074,0.04976885305942247,0.13428973492105353,-0.08452088186163106,,0.9888524207053981
2009-10-09,25.87,25.99,24.97,25.08,2026-08-25,,,,,,29.873838083152435,-0.08949100370307406,0.08953358719622802,-0.17902459089930206,,0.9910772477978698
2009-10-12,25.15,25.37,24.95,25.17,2026-08-25,,,,,,30.752846094114773,-0.1903984014092721,0.03354718947512799,-0.2239455908844001,,0.9502860158123078
2009-10-13,25.26,25.73,24.85,25.09,2026-08-25,,,,,,30.388217975305878,-0.2736688879151643,-0.02789602600293047,-0.24577286191223383,,0.9452655861114285
2009-10-14,24.32,24.81,24.32,24.58,2026-08-25,,,,,,28.100786026893303,-0.37647432448912,-0.09761168570016837,-0.2788626387889516,,0.9327466156748979
